Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
67,1.12,With Helmet,0.01,"(681,154,778,243)"
67,1.12,With Helmet,0.01,"(278,93,371,173)"
67,1.12,No Helmet,0.01,"(681,155,764,251)"
68,1.13,With Helmet,0.01,"(416,152,491,227)"
68,1.13,With Helmet,0.01,"(677,154,774,243)"
68,1.13,With Helmet,0.01,"(278,92,370,173)"
68,1.13,No Helmet,0.01,"(154,68,260,143)"
69,1.15,With Helmet,0.01,"(416,150,490,226)"
69,1.15,With Helmet,0.01,"(277,92,365,172)"
70,1.17,With Helmet,0.01,"(414,148,489,226)"
70,1.17,With Helmet,0.01,"(276,91,361,171)"
70,1.17,No Helmet,0.01,"(169,66,263,141)"
71,1.18,With Helmet,0.01,"(413,145,489,225)"
71,1.18,With Helmet,0.01,"(274,90,357,170)"
71,1.18,No Helmet,0.01,"(173,64,265,141)"
72,1.2,With Helmet,0.01,"(413,143,490,225)"
72,1.2,With Helmet,0.01,"(268,89,354,166)"
73,1.22,With Helmet,0.01,"(266,89,354,165)"
73,1.22,With Helmet,0.01,"(394,141,490,226)"
73,1.22,With Helmet,0.01,"(662,156,762,244)"
74,1.23,With Helmet,0.01,"(262,88,354,165)"
74,1.23,With Helmet,0.01,"(394,140,491,226)"
74,1.23,With Helmet,0.01,"(660,157,760,244)"
75,1.25,With Helmet,0.01,"(261,87,354,164)"
75,1.25,With Helmet,0.01,"(394,139,490,225)"
76,1.27,With Helmet,0.01,"(259,85,353,163)"
76,1.27,With Helmet,0.01,"(416,140,484,217)"
76,1.27,With Helmet,0.01,"(653,158,756,245)"
76,1.27,With Helmet,0.01,"(394,138,490,224)"
77,1.28,With Helmet,0.01,"(259,84,354,162)"
77,1.28,With Helmet,0.01,"(415,140,484,216)"
77,1.28,With Helmet,0.01,"(650,155,752,244)"
77,1.28,With Helmet,0.01,"(552,64,642,145)"
78,1.3,With Helmet,0.01,"(418,139,487,213)"
78,1.3,With Helmet,0.01,"(258,82,354,161)"
78,1.3,With Helmet,0.01,"(553,61,644,141)"
79,1.32,With Helmet,0.01,"(415,136,487,211)"
79,1.32,With Helmet,0.01,"(258,79,356,160)"
80,1.33,With Helmet,0.01,"(417,136,489,209)"
80,1.33,With Helmet,0.01,"(258,77,355,160)"
80,1.33,With Helmet,0.01,"(640,152,741,242)"
81,1.35,With Helmet,0.01,"(417,135,488,208)"
81,1.35,With Helmet,0.01,"(639,152,740,240)"
81,1.35,With Helmet,0.01,"(257,76,356,160)"
82,1.37,With Helmet,0.01,"(417,132,488,207)"
82,1.37,With Helmet,0.01,"(637,149,741,240)"
82,1.37,With Helmet,0.01,"(256,74,356,159)"
83,1.38,With Helmet,0.01,"(418,131,489,206)"
83,1.38,With Helmet,0.01,"(632,152,737,242)"
83,1.38,With Helmet,0.01,"(256,73,355,160)"
84,1.4,With Helmet,0.01,"(417,131,489,206)"
84,1.4,With Helmet,0.01,"(630,154,731,243)"
84,1.4,With Helmet,0.01,"(257,72,351,153)"
85,1.42,With Helmet,0.01,"(416,128,489,205)"
85,1.42,With Helmet,0.01,"(258,70,351,152)"
85,1.42,With Helmet,0.01,"(628,156,723,242)"
85,1.42,With Helmet,0.01,"(578,45,669,126)"
86,1.43,With Helmet,0.01,"(416,122,490,205)"
86,1.43,With Helmet,0.01,"(257,69,351,151)"
86,1.43,With Helmet,0.01,"(617,158,717,248)"
87,1.45,With Helmet,0.01,"(256,67,351,150)"
87,1.45,With Helmet,0.01,"(402,119,490,206)"
87,1.45,With Helmet,0.01,"(616,156,717,241)"
88,1.47,With Helmet,0.01,"(255,65,351,147)"
88,1.47,With Helmet,0.01,"(612,157,714,242)"
88,1.47,With Helmet,0.01,"(403,119,490,206)"
89,1.48,With Helmet,0.01,"(608,157,712,243)"
89,1.48,With Helmet,0.01,"(254,64,347,146)"
89,1.48,With Helmet,0.01,"(404,119,490,206)"
90,1.5,With Helmet,0.01,"(601,157,706,245)"
90,1.5,With Helmet,0.01,"(249,61,341,145)"
90,1.5,With Helmet,0.01,"(403,117,490,205)"
90,1.5,No Helmet,0.01,"(418,108,488,201)"
